collection,budget,genre,language,title,production_companies,release_date,revenue,runtime,rating
Toy Story Collection,30000000,Animation,en,Toy Story,Pixar Animation Studios,30-10-95,373554033,81.0,B
,65000000,Adventure,en,Jumanji,TriStar Pictures,15-12-95,262797249,104.0,C
Grumpy Old Men Collection,0,Romance,en,Grumpier Old Men,Warner Bros.,22-12-95,0,101.0,C
,16000000,Comedy,en,Waiting to Exhale,Twentieth Century Fox Film Corporation,22-12-95,81452156,127.0,C
Father of the Bride Collection,0,Comedy,en,Father of the Bride Part II,Sandollar Productions,10-02-95,76578911,106.0,C
,60000000,Action,en,Heat,Regency Enterprises,15-12-95,187436818,170.0,B
,58000000,Comedy,en,Sabrina,Paramount Pictures,15-12-95,0,127.0,C
,0,Action,en,Tom and Huck,Walt Disney Pictures,22-12-95,0,97.0,C
,35000000,Action,en,Sudden Death,Universal Pictures,22-12-95,64350171,106.0,C
James Bond Collection,58000000,Adventure,en,GoldenEye,United Artists,16-11-95,352194034,130.0,C
,62000000,Comedy,en,The American President,Columbia Pictures,17-11-95,107879496,106.0,C
,0,Comedy,en,Dracula: Dead and Loving It,Columbia Pictures,22-12-95,0,88.0,C
Balto Collection,0,Family,en,Balto,Universal Pictures,22-12-95,11348324,78.0,B
,44000000,History,en,Nixon,Hollywood Pictures,22-12-95,13681765,192.0,B
,98000000,Action,en,Cutthroat Island,Le Studio Canal+,22-12-95,10017322,119.0,C
,52000000,Drama,en,Casino,Universal Pictures,22-11-95,116112375,178.0,B
,16500000,Drama,en,Sense and Sensibility,Columbia Pictures Corporation,13-12-95,135000000,136.0,B
,4000000,Crime,en,Four Rooms,Miramax Films,09-12-95,4300000,98.0,C
Ace Ventura Collection,30000000,Crime,en,Ace Ventura: When Nature Calls,O Entertainment,10-11-95,212385533,90.0,C
,60000000,Action,en,Money Train,#VALUE!,,,,E
Chili Palmer Collection,30250000,Comedy,en,Get Shorty,Jersey Films,20-10-95,115101622,105.0,C
,0,Drama,en,Copycat,Regency Enterprises,27-10-95,0,124.0,C
,50000000,Action,en,Assassins,Silver Pictures,06-10-95,30303072,132.0,C
,0,Drama,en,Powder,Caravan Pictures,27-10-95,0,111.0,C
,3600000,Drama,en,Leaving Las Vegas,United Artists,27-10-95,49800000,112.0,B
,0,Drama,en,Othello,Columbia Pictures,15-12-95,0,123.0,C
,12000000,Comedy,en,Now and Then,New Line Cinema,20-10-95,27400000,100.0,C
,0,Drama,en,Persuasion,BBC Films,27-09-95,0,104.0,B
,18000000,Fantasy,fr,La Cité des Enfants Perdus,Procirep,16-05-95,1738611,108.0,B
,0,Drama,zh,摇啊摇，摇到外婆桥,Ministère des Affaires Étrangères,30-04-95,0,108.0,C
,0,Drama,en,Dangerous Minds,Hollywood Pictures,11-08-95,180000000,99.0,C
,29500000,Science Fiction,en,Twelve Monkeys,Universal Pictures,29-12-95,168840000,129.0,B
,0,Romance,fr,Guillaumet, les ailes du courage,Iwerks Entertainment,18-09-96,0,50.0,C
Babe Collection,30000000,Fantasy,en,Babe,Universal Pictures,18-07-95,254134910,89.0,C
,0,History,en,Carrington,StudioCanal,08-11-95,0,121.0,C
