Hours,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,SPIN_T,Multiplayer,Online,Relation,SPIN_M,whyplay,ResidenceISO
15.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Male,25,Unemployed / between jobs,USA,5.0,no,no,alone,_None,fun,USA
8.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,3.0,3.0,1.0,2.0,Male,41,Unemployed / between jobs,USA,33.0,yes,yes,strangers,Moderate,fun,USA
0.0,1.0,0.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,4.0,4.0,2.0,Female,32,Employed,Germany,31.0,no,no,alone,Moderate,fun,DEU
20.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,Male,28,Employed,USA,11.0,yes,yes,online acquaintaces,_None,improving,USA
20.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,Male,19,Employed,South Korea,13.0,yes,yes,strangers,_None,fun,KOR
4.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Male,24,Employed,USA,13.0,yes,yes,friends,_None,relaxing,USA
30.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,Male,29,Employed,USA,26.0,yes,yes,online acquaintaces,Mild,relaxing,USA
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,Female,23,Employed,Japan,-1.0,no,no,alone,Undefined,fun,JPN
2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,Female,23,Employed,USA,55.0,yes,yes,strangers,VerySevere,winning,USA
25.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,3.0,2.0,0.0,2.0,Female,27,Employed,Finland,26.0,yes,yes,online acquaintaces,Mild,improving,FIN
14.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Female,21,Student at college / university,USA,6.0,no,no,alone,_None,fun,USA
25.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,25,Employed,USA,3.0,yes,yes,friends,_None,fun,USA
10.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,Male,18,Student at college / university,USA,23.0,yes,yes,friends,Mild,improving,USA
25.0,0.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,Male,19,Student at school,USA,29.0,yes,yes,friends,Mild,relaxing,USA
30.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,Male,35,Employed,Canada,33.0,yes,yes,strangers,Moderate,fun,CAN
14.0,0.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,Male,18,Student at college / university,Australia,30.0,no,no,alone,Mild,fun,AUS
4.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,Female,24,Unemployed / between jobs,UK,36.0,yes,no,friends,Moderate,fun,GBR
20.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,30,Employed,Bosnia and Herzegovina,8.0,both,no,various,_None,various,BIH
10.0,1.0,0.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,Male,29,Unemployed / between jobs,USA,36.0,no,no,alone,Moderate,relaxing,USA
6.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,22,Employed,Ireland,11.0,yes,yes,strangers,_None,relaxing,IRL
7.0,1.0,0.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,Female,20,Employed,Finland,26.0,no,no,alone,Mild,fun,FIN
60.0,0.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,Male,24,Student at college / university,Germany,37.0,yes,yes,online acquaintaces,Moderate,improving,DEU
10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Male,33,Employed,Canada,5.0,no,no,alone,_None,fun,CAN
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,41,Employed,UK,0.0,yes,yes,friends,_None,fun,GBR
20.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Female,25,Unemployed / between jobs,UK,47.0,yes,yes,friends,Severe,fun,GBR
