Hours,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,SPIN_T,Multiplayer,Online,Relation,SPIN_M,whyplay,ResidenceName
15.0,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Male,25,Unemployed / between jobs,USA,5.0,no,no,alone,_None,fun,USA
8.0,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,3.0,3.0,1.0,2.0,Male,41,Unemployed / between jobs,USA,33.0,yes,yes,strangers,Moderate,fun,USA
0.0,1.0,0.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,4.0,4.0,2.0,Female,32,Employed,DEU,31.0,no,no,alone,Moderate,fun,Germany
20.0,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,Male,28,Employed,USA,11.0,yes,yes,online acquaintaces,_None,improving,USA
20.0,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,Male,19,Employed,KOR,13.0,yes,yes,strangers,_None,fun,South Korea
4.0,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Male,24,Employed,USA,13.0,yes,yes,friends,_None,relaxing,USA
30.0,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,Male,29,Employed,USA,26.0,yes,yes,online acquaintaces,Mild,relaxing,USA
25.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,-1.0,0.0,0.0,0.0,0.0,Female,23,Employed,JPN,-1.0,no,no,alone,Undefined,fun,Japan
2.0,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,Female,23,Employed,USA,55.0,yes,yes,strangers,Very severe,winning,USA
25.0,1.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,3.0,2.0,0.0,2.0,Female,27,Employed,FIN,26.0,yes,yes,online acquaintaces,Mild,improving,Finland
14.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Female,21,Student at college / university,USA,6.0,no,no,alone,_None,fun,USA
25.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,25,Employed,USA,3.0,yes,yes,friends,_None,fun,USA
10.0,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,Male,18,Student at college / university,USA,23.0,yes,yes,friends,Mild,improving,USA
25.0,0.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,Male,19,Student at school,USA,29.0,yes,yes,friends,Mild,relaxing,USA
30.0,2.0,1.0,3.0,3.0,1.0,1.0,0.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,Male,35,Employed,CAN,33.0,yes,yes,strangers,Moderate,fun,Canada
14.0,0.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,Male,18,Student at college / university,AUS,30.0,no,no,alone,Mild,fun,Australia
4.0,2.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,Female,24,Unemployed / between jobs,GBR,36.0,yes,no,friends,Moderate,fun,UK
20.0,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,30,Employed,BIH,8.0,both,no,various,_None,various,Bosnia and Herzegovina
10.0,1.0,0.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,Male,29,Unemployed / between jobs,USA,36.0,no,no,alone,Moderate,relaxing,USA
6.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,22,Employed,IRL,11.0,yes,yes,strangers,_None,relaxing,Ireland
7.0,1.0,0.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,Female,20,Employed,FIN,26.0,no,no,alone,Mild,fun,Finland
60.0,0.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,Male,24,Student at college / university,DEU,37.0,yes,yes,online acquaintaces,Moderate,improving,Germany
10.0,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Male,33,Employed,CAN,5.0,no,no,alone,_None,fun,Canada
21.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,41,Employed,GBR,0.0,yes,yes,friends,_None,fun,UK
20.0,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Female,25,Unemployed / between jobs,GBR,47.0,yes,yes,friends,Severe,fun,UK
