Unnamed: 0,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,Hours,whyplay,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,GAD_T,SPIN_T,Residence_ISO3,Birthplace_ISO3,Multiplayer,Online,Relation
1,0,0,0,0,1,0,0,15.0,having fun,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Male,25,Unemployed / between jobs,USA,1,5.0,USA,USA,no,no,alone
2,1,2,2,2,0,1,0,8.0,having fun,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,3.0,3.0,1.0,2.0,Male,41,Unemployed / between jobs,USA,8,33.0,USA,USA,yes,yes,strangers
3,0,2,2,0,0,3,1,0.0,having fun,1.0,0.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,4.0,4.0,2.0,Female,32,Employed,Germany,8,31.0,DEU,DEU,no,no,alone
4,0,0,0,0,0,0,0,20.0,improving,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,Male,28,Employed,USA,0,11.0,USA,USA,yes,yes,online acquaintaces
5,2,1,2,2,2,3,2,20.0,having fun,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,Male,19,Employed,South Korea,14,13.0,KOR,USA,yes,yes,strangers
6,0,0,0,0,0,1,0,4.0,relaxing,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Male,24,Employed,USA,1,13.0,USA,USA,yes,yes,friends
7,0,0,0,0,0,0,0,30.0,relaxing,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,Male,29,Employed,USA,0,26.0,USA,USA,yes,yes,online acquaintaces
8,0,0,0,0,0,0,0,25.0,having fun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Female,23,Employed,Japan,0,,JPN,USA,no,no,alone
9,2,3,2,2,0,1,2,2.0,winning,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,Female,23,Employed,USA,12,55.0,USA,USA,yes,yes,strangers
10,2,1,2,2,2,1,0,25.0,improving,1.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,3.0,2.0,0.0,2.0,Female,27,Employed,Finland,10,26.0,FIN,FIN,yes,yes,online acquaintaces
11,3,3,3,3,1,3,3,14.0,having fun,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Female,21,Student at college / university,USA,19,6.0,USA,USA,no,no,alone
12,0,0,0,0,0,0,0,25.0,having fun,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,25,Employed,USA,0,3.0,USA,USA,yes,yes,friends
13,0,0,0,0,0,0,0,10.0,improving,1.0,3.0,1.0,2.0,2.0,1.0,1.0,0.0,3.0,0.0,3.0,2.0,0.0,1.0,1.0,1.0,1.0,Male,18,Student at college / university,USA,0,23.0,USA,USA,yes,yes,friends
14,0,0,1,0,0,1,1,25.0,relaxing,0.0,4.0,2.0,3.0,4.0,1.0,4.0,1.0,4.0,1.0,1.0,4.0,0.0,0.0,0.0,0.0,0.0,Male,19,Student at school,USA,3,29.0,USA,USA,yes,yes,friends
15,0,0,0,1,0,1,0,30.0,having fun,2.0,1.0,3.0,3.0,1.0,1.0,0.0,4.0,3.0,2.0,3.0,2.0,2.0,2.0,2.0,1.0,1.0,Male,35,Employed,Canada,2,33.0,CAN,CAN,yes,yes,strangers
16,3,1,2,1,0,1,0,14.0,having fun,0.0,3.0,3.0,4.0,2.0,2.0,1.0,3.0,4.0,2.0,1.0,0.0,1.0,2.0,2.0,0.0,0.0,Male,18,Student at college / university,Australia,8,30.0,AUS,AUS,no,no,alone
17,1,0,1,1,0,1,0,4.0,having fun,2.0,4.0,1.0,1.0,2.0,2.0,3.0,1.0,3.0,1.0,4.0,2.0,1.0,3.0,2.0,2.0,2.0,Female,24,Unemployed / between jobs,UK,4,36.0,GBR,GBR,yes,no,friends
18,0,0,0,0,0,0,1,20.0,having fun and improving,1.0,1.0,1.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,Male,30,Employed,Bosnia and Herzegovina,1,8.0,BIH,BIH,both,no,various
19,1,1,1,2,2,1,0,10.0,relaxing,1.0,0.0,2.0,3.0,2.0,3.0,1.0,2.0,4.0,4.0,4.0,1.0,1.0,1.0,1.0,4.0,2.0,Male,29,Unemployed / between jobs,USA,8,36.0,USA,DEU,no,no,alone
20,0,0,0,0,0,0,0,6.0,relaxing,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,3.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,22,Employed,Ireland,0,11.0,IRL,GBR,yes,yes,strangers
21,1,0,0,0,0,0,1,7.0,having fun,1.0,0.0,3.0,3.0,2.0,1.0,4.0,3.0,2.0,1.0,4.0,0.0,0.0,2.0,0.0,0.0,0.0,Female,20,Employed,Finland,2,26.0,FIN,FIN,no,no,alone
22,3,3,3,2,0,1,3,60.0,improving,0.0,2.0,1.0,3.0,4.0,3.0,3.0,4.0,3.0,1.0,3.0,3.0,1.0,1.0,3.0,1.0,1.0,Male,24,Student at college / university,Germany,15,37.0,DEU,DEU,yes,yes,online acquaintaces
23,0,0,0,1,1,1,0,10.0,having fun,0.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,Male,33,Employed,Canada,3,5.0,CAN,CAN,no,no,alone
24,0,0,0,0,0,0,0,21.0,having fun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,41,Employed,UK,0,0.0,GBR,GBR,yes,yes,friends
25,1,1,1,2,1,2,2,20.0,having fun,1.0,2.0,3.0,3.0,3.0,3.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,3.0,Female,25,Unemployed / between jobs,UK,10,47.0,GBR,GBR,yes,yes,friends
26,1,0,0,1,0,1,1,21.0,having fun,0.0,1.0,3.0,1.0,1.0,1.0,1.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,3.0,0.0,2.0,Male,26,Unemployed / between jobs,Malaysia,4,20.0,MYS,KOR,no,no,alone
27,0,0,0,0,0,0,0,20.0,having fun,1.0,1.0,3.0,2.0,3.0,3.0,2.0,2.0,2.0,3.0,3.0,3.0,3.0,3.0,3.0,0.0,2.0,Female,20,Student at college / university,UK,0,39.0,GBR,GBR,no,no,alone
28,1,0,1,1,0,1,1,5.0,having fun,2.0,1.0,1.0,2.0,3.0,2.0,2.0,0.0,1.0,1.0,3.0,3.0,1.0,1.0,4.0,3.0,1.0,Male,36,Employed,Romania,5,31.0,ROU,ROU,yes,yes,strangers
29,1,0,2,1,0,0,0,40.0,having fun,1.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,1.0,0.0,3.0,1.0,0.0,1.0,3.0,0.0,1.0,Male,19,Student at college / university,USA,4,15.0,USA,USA,yes,yes,friends
30,0,0,0,0,0,1,0,6.0,having fun,0.0,2.0,1.0,2.0,0.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,1.0,0.0,0.0,Male,18,Student at school,USA,1,12.0,USA,USA,yes,no,friends
31,1,0,1,1,1,2,0,9.0,having fun,0.0,3.0,0.0,1.0,0.0,1.0,2.0,2.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,Male,18,Student at school,USA,6,14.0,USA,USA,yes,yes,online acquaintaces
