Unnamed: 0,GAD1,GAD2,GAD3,GAD4,GAD5,GAD6,GAD7,Hours,whyplay,SPIN1,SPIN2,SPIN3,SPIN4,SPIN5,SPIN6,SPIN7,SPIN8,SPIN9,SPIN10,SPIN11,SPIN12,SPIN13,SPIN14,SPIN15,SPIN16,SPIN17,Gender,Age,Work,Residence,Playstyle,GAD_T,SPIN_T,Residence_ISO3,Birthplace_ISO3
1,0,0,0,0,1,0,0,15.0,having fun,1.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,Male,25,Unemployed / between jobs,USA,Singleplayer,1,5.0,USA,USA
2,1,2,2,2,0,1,0,8.0,having fun,2.0,1.0,1.0,3.0,2.0,3.0,1.0,3.0,4.0,0.0,3.0,0.0,1.0,3.0,3.0,1.0,2.0,Male,41,Unemployed / between jobs,USA,Multiplayer - online - with strangers,8,33.0,USA,USA
3,0,2,2,0,0,3,1,0.0,having fun,1.0,0.0,1.0,2.0,3.0,4.0,2.0,1.0,0.0,1.0,1.0,3.0,0.0,2.0,4.0,4.0,2.0,Female,32,Employed,Germany,Singleplayer,8,31.0,DEU,DEU
4,0,0,0,0,0,0,0,20.0,improving,2.0,0.0,0.0,1.0,3.0,0.0,0.0,0.0,0.0,0.0,1.0,3.0,0.0,0.0,1.0,0.0,0.0,Male,28,Employed,USA,Multiplayer - online - with online acquaintances or teammates,0,11.0,USA,USA
5,2,1,2,2,2,3,2,20.0,having fun,2.0,0.0,0.0,0.0,1.0,0.0,0.0,4.0,2.0,0.0,1.0,0.0,0.0,0.0,0.0,3.0,0.0,Male,19,Employed,South Korea,Multiplayer - online - with strangers,14,13.0,KOR,USA
6,0,0,0,0,0,1,0,4.0,relaxing,1.0,1.0,2.0,3.0,2.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,Male,24,Employed,USA,Multiplayer - online - with real life friends,1,13.0,USA,USA
7,0,0,0,0,0,0,0,30.0,relaxing,1.0,2.0,2.0,3.0,1.0,1.0,1.0,2.0,3.0,1.0,3.0,1.0,0.0,1.0,2.0,1.0,1.0,Male,29,Employed,USA,Multiplayer - online - with online acquaintances or teammates,0,26.0,USA,USA
8,0,0,0,0,0,0,0,25.0,having fun,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,0.0,0.0,0.0,Female,23,Employed,Japan,Singleplayer,0,,JPN,USA
9,2,3,2,2,0,1,2,2.0,winning,1.0,1.0,4.0,4.0,4.0,4.0,4.0,4.0,3.0,3.0,4.0,4.0,2.0,4.0,4.0,2.0,3.0,Female,23,Employed,USA,Multiplayer - online - with strangers,12,55.0,USA,USA
10,2,1,2,2,2,1,0,25.0,improving,1.0,1.0,1.0,1.0,3.0,3.0,0.0,1.0,2.0,2.0,3.0,1.0,0.0,3.0,2.0,0.0,2.0,Female,27,Employed,Finland,Multiplayer - online - with online acquaintances or teammates,10,26.0,FIN,FIN
11,3,3,3,3,1,3,3,14.0,having fun,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,1.0,0.0,0.0,Female,21,Student at college / university,USA,Singleplayer,19,6.0,USA,USA
12,0,0,0,0,0,0,0,25.0,having fun,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Male,25,Employed,USA,Multiplayer - online - with real life friends,0,3.0,USA,USA
